text,author
"If you end up with a boring miserable life because you listened to your mom, your dad, your teacher, your priest, or some guy on television telling you how to do your shit, then you deserve it.",Frank Zappa
"The purpose of life is to live it, to taste experience to the utmost, to reach out eagerly and without fear for newer and richer experience.",Eleanor Roosevelt
It does not matter how slowly you go as long as you do not stop.,Confucius
"Appear weak when you are strong, and strong when you are weak.",The Art of War
"The more you know who you are, and what you want, the less you let things upset you.",Anna and the French Kiss
إن المرأة تحب رجلها ليس لأنه أقوى الرجال، و لا أوسمهم، و لا أغناهم، بل لأنه هو.. بضعفه و قوته.. و الحب ليس إستعراض قوة لكنه طاقة عطاء دافئة مستمرة,أحمد خالد توفيق
"Whenever you read a cancer booklet or website or whatever, they always list depression among the side effects of cancer. But, in fact, depression is not a side effect of cancer. Depression is a side effect of dying.",The Fault in Our Stars
"When we least expect it, life sets us a challenge to test our courage and willingness to change; at such a moment, there is no point in pretending that nothing has happened or in saying that we are not yet ready. The challenge will not wait. Life does not look back. A week is more than enough time for us to decide whether or not to accept our destiny.",The Devil and Miss Prym
"Remember, remember, this is now, and now, and now. Live it, feel it, cling to it. I want to become acutely aware of all I’ve taken for granted.",Sylvia Plath
"Do not fall in love with people like me. I will take you to museums, and parks, and monuments, and kiss you in every beautiful place, so that you can never go back to them without tasting me like blood in your mouth.I will destroy you in the most beautiful way possible. And when I leave you will finally understand, why storms are named after people.",Literary Sexts: A Collection of Short & Sexy Love Poems
"Always find opportunities to make someone smile, and to offer random acts of kindness in everyday life.",The Light in the Heart
Cry. Forgive. Learn. Move on. Let your tears water the seeds of your future happiness.,Steve Maraboli
"There is only one sin. and that is theft... when you tell a lie, you steal someones right to the truth.",The Kite Runner
"All parents damage their children. It cannot be helped. Youth, like pristine glass, absorbs the prints of its handlers. Some parents smudge, others crack, a few shatter childhoods completely into jagged little pieces, beyond repair.",The Five People You Meet in Heaven
"People come, people go – they’ll drift in and out of your life, almost like characters in a favorite book. When you finally close the cover, the characters have told their story and you start up again with another book, complete with new characters and adventures. Then you find yourself focusing on the new ones, not the ones from the past.",The Rescue
"Friendship marks a life even more deeply than love. Love risks degenerating into obsession, friendship is never anything but sharing.",Elie Wiesel
I like flaws. I think they make things interesting.,The Truth About Forever
"The trouble is if you don’t spend your life yourself, other people spend it for you.",Five Finger Exercise
"How nice -- to feel nothing, and still get full credit for being alive.",Slaughterhouse-Five
Never lose hope. Storms make people stronger and never last forever.,The Light in the Heart
"Lost opportunities, lost possibilities, feelings we can never get back. That's part of what it means to be alive. But inside our heads - at least that's where I imagine it - there's a little room where we store those memories. A room like the stacks in this library. And to understand the workings of our own heart we have to keep on making new reference cards. We have to dust things off every once in awhile, let in fresh air, change the water in the flower vases. In other words, you'll live forever in your own private library.",Kafka on the Shore
Time was passing like a hand waving from a train I wanted to be on. I hope you never have to think about anything as much as I think about you.,jonathan safran foer
I don't like people who have never fallen or stumbled. Their virtue is lifeless and it isn't of much value. Life hasn't revealed its beauty to them. ,Boris Pasternak
"please believe that things are good with me, and even when they're not, they will be soon enough. And i will always believe the same about you.",The Perks of Being a Wallflower
"Never be bullied into silence. Never allow yourself to be made a victim. Accept no one's definition of your life, but define yourself.",Harvey Fierstein
To choose doubt as a philosophy of life is akin to choosing immobility as a means of transportation.,Life of Pi
There are two means of refuge from the misery of life — music and cats.,Albert Schweitzer
"Life is not a matter of holding good cards, but of playing a poor hand well.",Robert Louis Stevenson
"No matter how careful you are, there's going to be the sense you missed something, the collapsed feeling under your skin that you didn't experience it all. There's that fallen heart feeling that you rushed right through the moments where you should've been paying attention.Well, get used to that feeling. That's how your whole life will feel some day.This is all practice.",Invisible Monsters
To shine your brightest light is to be who you truly are.,Roy T. Bennett
Be thankful for everything that happens in your life; it’s all an experience.,Roy T. Bennett
"Time doesn’t heal emotional pain, you need to learn how to let go.",The Light in the Heart
"If you know someone who’s depressed, please resolve never to ask them why. Depression isn’t a straightforward response to a bad situation; depression just is, like the weather.Try to understand the blackness, lethargy, hopelessness, and loneliness they’re going through. Be there for them when they come through the other side. It’s hard to be a friend to someone who’s depressed, but it is one of the kindest, noblest, and best things you will ever do.",Stephen Fry
There's nowhere you can be that isn't where you're meant to be...,John Lennon
Better to die fighting for freedom then be a prisoner all the days of your life.,Bob Marley
"If I had my life to live over again, I would have made a rule to read some poetry and listen to some music at least once every week.","The Autobiography of Charles Darwin, 1809–82"
"They say I'm old-fashioned, and live in the past, but sometimes I think progress progresses too fast!",Dr. Seuss
Sometimes you have to lose all you have to find out who you truly are.,The Light in the Heart
"I could die for you. But I couldn't, and wouldn't, live for you.",The Fountainhead
"If the real world were a book, it would never find a publisher. Overlong, detailed to the point of distraction-and ultimately, without a major resolution.",Something Rotten
"Stop comparing yourself to other people, just choose to be happy and live your own life.",The Light in the Heart
You never change your life until you step out of your comfort zone; change begins at the end of your comfort zone.,Roy T. Bennett
You are not rich until you have a rich heart.,The Light in the Heart
"Do not let the memories of your past limit the potential of your future. There are no limits to what you can achieve on your journey through life, except in your mind.",The Light in the Heart
Anxiety is the dizziness of freedom.,The Concept of Anxiety: A Simple Psychologically Orienting Deliberation on the Dogmatic Issue of Hereditary Sin
I'm killing time while I wait for life to shower me with meaning and happiness.,Bill Watterson
"Be thankful for what you have; you'll end up having more. If you concentrate on what you don't have, you will never, ever have enough",Oprah Winfrey
"make a radical change in your lifestyle and begin to boldly do things which you may previously never have thought of doing, or been too hesitant to attempt. So many people live within unhappy circumstances and yet will not take the initiative to change their situation because they are conditioned to a life of security, conformity, and conservation, all of which may appear to give one peace of mind, but in reality nothing is more damaging to the adventurous spirit within a man than a secure future. The very basic core of a man's living spirit is his passion for adventure. The joy of life comes from our encounters with new experiences, and hence there is no greater joy than to have an endlessly changing horizon, for each day to have a new and different sun. If you want to get more out of life, you must lose your inclination for monotonous security and adopt a helter-skelter style of life that will at first appear to you to be crazy. But once you become accustomed to such a life you will see its full meaning and its incredible beauty.",Into the Wild
"Even After All this timeThe Sun never says to the Earth,""You owe me.""LookWhat happensWith a love like that,It lights the whole sky.",Hafiz
"to love life, to love it evenwhen you have no stomach for itand everything you've held dearcrumbles like burnt paper in your hands,your throat filled with the silt of it.When grief sits with you, its tropical heatthickening the air, heavy as watermore fit for gills than lungs;when grief weights you like your own fleshonly more of it, an obesity of grief,you think, How can a body withstand this?Then you hold life like a facebetween your palms, a plain face,no charming smile, no violet eyes,and you say, yes, I will take youI will love you, again.",Ellen Bass
"If you stay, I'll do whatever you want. I'll quit the band, go with you to New York. But if you need me to go away, I'll do that, too. I was talking to Liz and she said maybe coming back to your old life would be too painful, that maybe it'd be easier for you to erase us. And that would suck, but I'd do it. I can lose you like that if I don't lose you today. I'll let you go. If you stay.",If I Stay
"If, then, I were asked for the most important advice I could give, that which I considered to be the most useful to the men of our century, I should simply say: in the name of God, stop a moment, cease your work, look around you.","Essays, Letters and Miscellanies"
Incredible change happens in your life when you decide to take control of what you do have power over instead of craving control over what you don't.,"Life, the Truth, and Being Free"
A man who dares to waste one hour of time has not discovered the value of life.,The Life & Letters of Charles Darwin
Let the improvement of yourself keep you so busy that you have no time to criticize others.,The Light in the Heart
Life is either a daring adventure or nothing at all.,The Open Door
